close,time,high,low,open
1828.52,2025-04-03 14:56:00,1830.24,1828.02,1829.2
1831.14,2025-04-03 14:57:00,1831.72,1828.44,1828.82
1831.4,2025-04-03 14:58:00,1832.95,1830.2,1830.94
1832.99,2025-04-03 14:59:00,1834.17,1831.52,1831.9
1831.84,2025-04-03 15:00:00,1835.03,1831.76,1833.61
1834.17,2025-04-03 15:01:00,1835.51,1832.31,1832.39
1833.56,2025-04-03 15:02:00,1835.05,1833.0,1834.14
1834.84,2025-04-03 15:03:00,1835.39,1833.45,1833.55
1838.24,2025-04-03 15:04:00,1840.56,1835.01,1835.01
1840.91,2025-04-03 15:05:00,1842.0,1837.94,1838.12
1838.67,2025-04-03 15:06:00,1842.69,1838.67,1840.95
1843.53,2025-04-03 15:07:00,1843.53,1839.03,1839.03
1843.46,2025-04-03 15:08:00,1845.34,1842.78,1843.26
1841.67,2025-04-03 15:09:00,1844.08,1841.26,1843.14
1840.21,2025-04-03 15:10:00,1841.45,1838.8,1841.45
1839.96,2025-04-03 15:11:00,1841.02,1839.64,1840.11
1839.73,2025-04-03 15:12:00,1840.75,1838.81,1840.19
1842.15,2025-04-03 15:13:00,1842.34,1839.54,1840.14
1846.81,2025-04-03 15:14:00,1847.65,1842.31,1842.31
1848.53,2025-04-03 15:15:00,1848.78,1846.88,1847.24
1853.65,2025-04-03 15:16:00,1853.65,1847.99,1848.32
1850.9,2025-04-03 15:17:00,1853.5,1849.68,1853.47
1845.82,2025-04-03 15:18:00,1850.96,1844.82,1850.96
1844.78,2025-04-03 15:19:00,1846.74,1843.98,1845.55
1845.18,2025-04-03 15:20:00,1845.78,1843.76,1844.14
1843.33,2025-04-03 15:21:00,1846.16,1841.94,1845.92
1840.13,2025-04-03 15:22:00,1842.43,1837.37,1842.33
1840.91,2025-04-03 15:23:00,1841.51,1839.27,1840.18
1842.38,2025-04-03 15:24:00,1843.09,1840.33,1840.53
1843.73,2025-04-03 15:25:00,1843.73,1840.34,1842.4
1841.1,2025-04-03 15:26:00,1842.93,1841.1,1842.93
1843.15,2025-04-03 15:27:00,1843.15,1840.08,1841.22
1847.41,2025-04-03 15:28:00,1847.41,1842.45,1842.45
1847.25,2025-04-03 15:29:00,1848.88,1845.81,1846.96
1845.82,2025-04-03 15:30:00,1847.81,1844.44,1847.79
1844.41,2025-04-03 15:31:00,1846.56,1844.41,1846.08
1843.56,2025-04-03 15:32:00,1845.96,1843.31,1844.8
1846.46,2025-04-03 15:33:00,1846.46,1842.01,1843.15
1842.52,2025-04-03 15:34:00,1847.23,1841.62,1846.55
1842.61,2025-04-03 15:35:00,1844.19,1841.03,1842.7
1846.28,2025-04-03 15:36:00,1846.28,1841.84,1842.17
1845.84,2025-04-03 15:37:00,1847.13,1845.38,1846.4
1837.41,2025-04-03 15:38:00,1845.22,1836.63,1845.22
1838.21,2025-04-03 15:39:00,1838.79,1836.79,1837.24
1840.01,2025-04-03 15:40:00,1840.01,1836.3,1838.07
1839.21,2025-04-03 15:41:00,1842.2,1838.73,1840.23
1836.67,2025-04-03 15:42:00,1839.95,1836.64,1838.74
1836.38,2025-04-03 15:43:00,1838.38,1835.41,1836.87
1835.94,2025-04-03 15:44:00,1836.75,1834.61,1836.18
1834.91,2025-04-03 15:45:00,1837.73,1834.8,1836.89
1837.89,2025-04-03 15:46:00,1837.89,1834.72,1835.52
1836.33,2025-04-03 15:47:00,1838.14,1835.2,1837.65
1832.15,2025-04-03 15:48:00,1836.08,1832.15,1835.95
1831.01,2025-04-03 15:49:00,1832.35,1829.36,1832.11
1825.43,2025-04-03 15:50:00,1830.97,1824.95,1830.97
1819.97,2025-04-03 15:51:00,1824.74,1819.84,1824.74
1820.61,2025-04-03 15:52:00,1820.94,1819.46,1820.0
1819.33,2025-04-03 15:53:00,1822.06,1819.3,1820.19
1821.51,2025-04-03 15:54:00,1821.51,1817.91,1819.57
1818.61,2025-04-03 15:55:00,1821.25,1818.61,1820.72
1819.4,2025-04-03 15:56:00,1820.78,1818.49,1819.67
1820.62,2025-04-03 15:57:00,1820.92,1817.68,1819.22
1818.11,2025-04-03 15:58:00,1822.86,1818.11,1821.15
1815.94,2025-04-03 15:59:00,1819.3,1815.94,1818.48
1818.49,2025-04-03 16:00:00,1819.07,1816.09,1816.09
1818.35,2025-04-03 16:01:00,1820.07,1817.3,1819.24
1819.36,2025-04-03 16:02:00,1819.71,1816.29,1818.06
1823.18,2025-04-03 16:03:00,1823.3,1819.69,1819.69
1821.62,2025-04-03 16:04:00,1824.76,1821.13,1823.07
1822.12,2025-04-03 16:05:00,1822.25,1819.81,1821.98
1820.71,2025-04-03 16:06:00,1822.59,1820.08,1822.02
1818.68,2025-04-03 16:07:00,1821.66,1816.48,1820.51
1820.47,2025-04-03 16:08:00,1820.8,1818.96,1818.96
1821.85,2025-04-03 16:09:00,1822.71,1819.73,1819.95
1821.72,2025-04-03 16:10:00,1821.72,1817.78,1821.27
1820.38,2025-04-03 16:11:00,1821.73,1818.99,1821.51
1824.07,2025-04-03 16:12:00,1824.07,1820.16,1820.38
1826.48,2025-04-03 16:13:00,1827.77,1823.8,1824.38
1827.11,2025-04-03 16:14:00,1829.48,1826.26,1826.71
1825.82,2025-04-03 16:15:00,1827.17,1824.29,1827.17
1826.27,2025-04-03 16:16:00,1827.53,1825.79,1825.79
1827.27,2025-04-03 16:17:00,1828.6,1825.59,1826.44
1825.22,2025-04-03 16:18:00,1827.35,1823.3,1827.13
1828.78,2025-04-03 16:19:00,1829.0,1823.99,1825.25
1830.47,2025-04-03 16:20:00,1831.0,1826.96,1829.1
1830.12,2025-04-03 16:21:00,1832.84,1829.93,1830.48
1825.99,2025-04-03 16:22:00,1830.48,1825.78,1829.64
1825.35,2025-04-03 16:23:00,1827.22,1825.0,1826.03
1826.07,2025-04-03 16:24:00,1827.26,1824.4,1825.75
1825.34,2025-04-03 16:25:00,1827.93,1824.58,1826.32
1824.28,2025-04-03 16:26:00,1825.43,1822.14,1824.91
1826.35,2025-04-03 16:27:00,1827.79,1824.13,1824.13
1826.62,2025-04-03 16:28:00,1828.38,1824.78,1826.84
1824.6,2025-04-03 16:29:00,1826.17,1822.78,1826.17
1826.2,2025-04-03 16:30:00,1827.36,1825.47,1825.47
1825.22,2025-04-03 16:31:00,1827.1,1823.89,1826.92
1825.13,2025-04-03 16:32:00,1827.54,1824.84,1824.84
1827.99,2025-04-03 16:33:00,1827.99,1824.01,1825.19
1826.59,2025-04-03 16:34:00,1827.86,1826.08,1827.85
1829.45,2025-04-03 16:35:00,1829.55,1824.67,1826.85
1832.92,2025-04-03 16:36:00,1833.61,1829.26,1829.5
1828.97,2025-04-03 16:37:00,1833.25,1828.97,1833.25
1830.86,2025-04-03 16:38:00,1830.92,1827.25,1829.16
1832.38,2025-04-03 16:39:00,1832.5,1829.64,1830.46
1827.65,2025-04-03 16:40:00,1832.96,1827.14,1832.96
1826.44,2025-04-03 16:41:00,1828.24,1824.34,1827.96
1823.73,2025-04-03 16:42:00,1825.75,1821.98,1825.75
1829.54,2025-04-03 16:43:00,1830.53,1824.37,1824.42
